Rk,Player,Age,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%
46,Bojan Bogdanovi?,33,59,32.1,21.6,3.8,2.6,0.6,0.1,0.488,0.411,0.884
47,Bol Bol,23,70,21.5,9.1,5.8,1,0.4,1.2,0.546,0.265,0.759
48,Leandro Bolmaro,22,14,4.9,0.4,0.5,0.5,0.2,0.1,0.15,0,0
49,Devin Booker,26,53,34.6,27.8,4.5,5.5,1,0.3,0.494,0.351,0.855
50,Brandon Boston Jr.,21,22,11.3,6.5,1.4,0.9,0.4,0,0.418,0.414,0.763
51,Chris Boucher,30,76,20,9.4,5.5,0.4,0.6,0.8,0.493,0.328,0.762
52,James Bouknight,22,34,15.1,5.6,2.1,1.2,0.4,0.1,0.358,0.303,0.667
53,Jamaree Bouyea,23,5,14.2,3,1.2,0.8,0.8,0.4,0.429,0.333,0.5
53,Jamaree Bouyea,23,4,16.3,3.8,1.3,1,1,0.5,0.462,0.4,0.5
53,Jamaree Bouyea,23,1,6,0,1,0,0,0,0,0,0
54,Tony Bradley,25,12,2.8,1.6,0.9,0.1,0.1,0.1,0.5,0.6,1
55,Malaki Branham,19,66,23.5,10.2,2.7,1.9,0.5,0.1,0.44,0.302,0.829
56,Jarrell Brantley,26,4,9.8,5.5,1.5,0.8,0,0.5,0.571,0.444,1
57,Christian Braun,21,76,15.5,4.7,2.4,0.8,0.5,0.2,0.495,0.354,0.625
58,Mikal Bridges,26,83,35.7,20.1,4.4,3.3,1.1,0.7,0.468,0.382,0.895
58,Mikal Bridges,26,56,36.4,17.2,4.3,3.6,1.2,0.8,0.463,0.387,0.897
58,Mikal Bridges,26,27,34.2,26.1,4.5,2.7,1,0.6,0.475,0.376,0.894
59,Oshae Brissett,24,65,16.7,6.1,3.4,0.7,0.5,0.2,0.386,0.31,0.717
60,Malcolm Brogdon,30,67,26,14.9,4.2,3.7,0.7,0.3,0.484,0.444,0.87
61,Dillon Brooks,27,73,30.3,14.3,3.3,2.6,0.9,0.2,0.396,0.326,0.779
62,Bruce Brown,26,80,28.5,11.5,4.1,3.4,1.1,0.6,0.483,0.358,0.758
63,Greg Brown III,21,16,5.8,1.8,1.2,0.2,0.3,0.3,0.393,0.143,0.417
64,Jaylen Brown,26,67,35.9,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.765
65,Kendall Brown,19,6,6.7,1.5,1,0.5,0.7,0,0.571,0,0.5
66,Moses Brown,23,36,8.2,4.3,3.9,0.1,0.1,0.4,0.635,0,0.458
66,Moses Brown,23,34,8.5,4.6,4.1,0.1,0.1,0.4,0.635,0,0.458
66,Moses Brown,23,2,3,0,0,0,0.5,0,0,0,0
67,Sterling Brown,27,4,6,0,2,0.5,0.8,0,0,0,0
68,Troy Brown Jr.,23,76,24.5,7.1,4.1,1.3,0.8,0.2,0.43,0.381,0.872
69,Jalen Brunson,26,68,35,24,3.5,6.2,0.9,0.2,0.491,0.416,0.829
70,Thomas Bryant,25,59,18.3,9.8,5.7,0.5,0.3,0.5,0.623,0.441,0.738
70,Thomas Bryant,25,41,21.4,12.1,6.8,0.7,0.3,0.6,0.654,0.44,0.741
70,Thomas Bryant,25,18,11.4,4.6,3.3,0.1,0.1,0.4,0.485,0.444,0.722
71,Reggie Bullock,31,78,30.3,7.2,3.6,1.4,0.7,0.2,0.409,0.38,0.703
72,Alec Burks,31,51,22,12.8,3.1,2.2,0.7,0.2,0.436,0.414,0.814
73,Deonte Burton,29,2,3,0,0,0,0,0,0,0,0
74,Jared Butler,22,6,12.8,6.2,0.7,1.3,0.8,0,0.469,0.5,0
75,Jimmy Butler,33,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85
76,John Butler,20,19,11.6,2.4,0.9,0.6,0.4,0.5,0.321,0.229,0.75
77,Jamal Cain,23,18,13.3,5.4,2.9,0.7,0.6,0.1,0.561,0.35,0.773
78,Kentavious Caldwell-Pope,29,76,31.3,10.8,2.7,2.4,1.5,0.5,0.462,0.423,0.824
79,Facundo Campazzo,31,8,6.5,1.3,0.3,1.1,0.8,0,0.231,0.273,0.5
80,Vlatko ?an?ar,25,60,14.8,5,2.1,1.3,0.4,0.2,0.476,0.374,0.927
81,Clint Capela,28,65,26.6,12,11,0.9,0.7,1.2,0.653,0,0.603
82,Vernon Carey Jr.,21,11,2.5,0.5,1,0.3,0.2,0.2,0.25,0,1
83,Jevon Carter,27,81,22.3,8,2.5,2.4,0.8,0.4,0.423,0.421,0.816
84,Wendell Carter Jr.,23,57,29.6,15.2,8.7,2.3,0.5,0.6,0.525,0.356,0.738
85,Michael Carter-Williams,31,4,11,4.3,1.3,1.8,0.3,0.3,0.429,0.333,0.571
86,Alex Caruso,28,67,23.5,5.6,2.9,2.9,1.5,0.7,0.455,0.364,0.808
87,Julian Champagnie,21,17,18.8,9.7,3.5,0.6,0.4,0.3,0.454,0.402,0.824
87,Julian Champagnie,21,2,3.5,0,0,0,0.5,0,0,0,0
87,Julian Champagnie,21,15,20.9,11,4,0.7,0.3,0.3,0.461,0.407,0.824
88,Justin Champagnie,21,5,6.8,2.2,1.6,0.8,0.2,0,0.333,0.2,0
88,Justin Champagnie,21,3,3.7,2,1.3,0.3,0,0,1,0,0
88,Justin Champagnie,21,2,11.5,2.5,2,1.5,0.5,0,0.167,0.2,0
89,Kennedy Chandler,20,36,7.8,2.2,1.1,1.6,0.3,0.1,0.422,0.133,0.462
90,Max Christie,19,41,12.5,3.1,1.8,0.5,0.2,0.2,0.415,0.419,0.875
91,Josh Christopher,21,64,12.3,5.8,1.1,1.1,0.5,0.2,0.465,0.236,0.75
92,Brandon Clarke,26,56,19.5,10,5.5,1.3,0.6,0.7,0.656,0.167,0.723
93,Jordan Clarkson,30,61,32.6,20.8,4,4.4,0.5,0.2,0.444,0.338,0.816
